x,y,psi,v_ref,s
3.958461,-1.478994,-2.941348,1.500000,10.611489
3.932604,-1.483908,-2.966213,1.500000,10.637809
3.906667,-1.488172,-2.991143,1.500000,10.664094
3.880661,-1.491783,-3.016130,1.500000,10.690350
3.854597,-1.494739,-3.041165,1.500000,10.716580
3.828488,-1.497040,-3.066238,1.500000,10.742790
3.802345,-1.498684,-3.091340,1.500000,10.768986
3.776178,-1.499671,-3.116462,1.500000,10.795171
3.750000,-1.500000,-3.141593,1.500000,10.821351
3.723822,-1.499671,3.116462,1.500000,10.847531
3.697655,-1.498684,3.091340,1.500000,10.873716
3.671512,-1.497040,3.066238,1.500000,10.899911
3.645403,-1.494739,3.041165,1.500000,10.926122
3.619339,-1.491783,3.016130,1.500000,10.952352
3.593333,-1.488172,2.991143,1.500000,10.978608
3.567396,-1.483908,2.966213,1.500000,11.004893
3.541539,-1.478994,2.941348,1.500000,11.031213
3.515773,-1.473431,2.916558,1.500000,11.057572
3.490110,-1.467221,2.891850,1.500000,11.083976
3.464561,-1.460368,2.867233,1.500000,11.110428
3.439138,-1.452875,2.842714,1.500000,11.136933
3.413850,-1.444744,2.818301,1.500000,11.163496
3.388710,-1.435979,2.794001,1.500000,11.190120
3.363729,-1.426585,2.769820,1.500000,11.216809
3.338917,-1.416565,2.745765,1.500000,11.243568
3.314285,-1.405923,2.721840,1.500000,11.270400
3.289844,-1.394665,2.698052,1.500000,11.297309
3.265606,-1.382795,2.674404,1.500000,11.324299
3.241579,-1.370318,2.650903,1.500000,11.351371
3.217776,-1.357241,2.627551,1.500000,11.378530
3.194206,-1.343568,2.604352,1.500000,11.405779
3.170880,-1.329305,2.581309,1.500000,11.433120
3.147808,-1.314460,2.558425,1.500000,11.460555
3.125000,-1.299038,2.535702,1.500000,11.488088
3.102466,-1.283046,2.513141,1.500000,11.515719
3.080217,-1.266492,2.490745,1.500000,11.543452
3.058261,-1.249382,2.468514,1.500000,11.571287
3.036608,-1.231724,2.446448,1.500000,11.599227
3.015268,-1.213525,2.424549,1.500000,11.627273
2.994251,-1.194795,2.402816,1.500000,11.655426
2.973565,-1.175540,2.381248,1.500000,11.683686
2.953220,-1.155770,2.359845,1.500000,11.712055
2.933224,-1.135493,2.338605,1.500000,11.740533
2.913587,-1.114717,2.317528,1.500000,11.769120
2.894316,-1.093453,2.296612,1.500000,11.797817
